NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Larry,Nance,PF,24,9,19,4.5,1.2,2.5,3.7,0.6,0.58,0.29,0.8,1.9,0.8,9.5,2,4.2,0.485,0,0.1,0.5,0.4,0.6,0.67,2,4.1,0.485,1.079,0.49
Lavoy,Allen,PF,27,7,20.4,5,2,3.5,5.5,1.1,0.33,0.52,0.9,1.7,1.2,10.7,2.3,5.3,0.441,0,0,0,0.4,0.7,0.56,2.3,5.3,0.441,0.951,0.44
Leandro,Barbosa,SG,24,0,14.6,6.3,0.4,1,1.4,1.5,0.92,0.21,1,1.6,1.6,12.8,2.6,5.9,0.44,0.8,1.9,0.4,0.3,0.5,0.73,1.8,4,0.458,1.064,0.5
LeBron,James,SF,25,25,36.4,26.4,1.4,6.3,7.6,6.3,1.48,0.64,3.6,1.9,1.8,27.1,10,20.1,0.497,1,3.8,0.26,5.4,7.3,0.73,9,16.3,0.553,1.31,0.52
Lou,Amundson,PF,13,0,8.5,2.7,0.9,1.5,2.4,0.4,0.38,0.23,0.3,1.6,1.3,13.1,1.1,2.3,0.467,0,0,0,0.5,1.2,0.44,1.1,2.3,0.467,1.167,0.47
Louis,Williams,SG,27,9,27.5,13.7,0.3,2.2,2.5,2.4,1.11,0.22,1.5,2,1.6,16.5,3.9,9.6,0.404,1.5,4.3,0.348,4.4,5.6,0.79,2.4,5.3,0.448,1.419,0.48
Luc Richard,Mbah a Moute,PF,27,13,11.2,1.9,1,1,2,0.2,0.26,0.15,0.3,1,0.6,6.4,0.7,2.1,0.345,0.2,0.6,0.353,0.2,0.3,0.75,0.5,1.5,0.341,0.897,0.4
Lucas,Nogueira,C,10,0,10.4,3.6,0.7,1.3,2,0.3,0.6,0.4,0.4,1.2,0.8,19.1,1.6,2.2,0.727,0,0.1,0,0.4,0.7,0.57,1.6,2.1,0.762,1.636,0.73
Luis,Montero,SG,4,0,3.3,2.3,0,0.3,0.3,0.3,0,0,0.3,0.3,1,17.5,0.8,1.8,0.429,0.3,0.8,0.333,0.5,0.5,1,0.5,1,0.5,1.286,0.5
Luis,Scola,PF,30,30,23.9,10.2,1.4,4.4,5.8,0.8,0.67,0.27,1.1,2.6,0.8,14.7,4.3,9.2,0.467,0.6,1.5,0.409,1,1.2,0.78,3.7,7.7,0.478,1.105,0.5
